geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.790592578756836, 144.93857372263042","{""coordinates"": [[[[144.93964086582, -37.79061346362], [144.939607481633, -37.790792441526], [144.937490498874, -37.790569531311], [144.937556299007, -37.790393966749], [144.93964086582, -37.79061346362]]]], ""type"": ""MultiPolygon""}",,,,23110,,,Not determined by precinct plan,,,Alfred Street between Boundary Road and Western Link Road
"-37.8162353559344, 144.9838886627861","{""coordinates"": [[[[144.982781346836, -37.815974424953], [144.985042353814, -37.816224596319], [144.984994012858, -37.816496486435], [144.984971392081, -37.816493976145], [144.983499139343, -37.816330579784], [144.98284558721, -37.816258040387], [144.98273483424, -37.816245746999], [144.982781346836, -37.815974424953]]]], ""type"": ""MultiPolygon""}",,,,21939,,,Not determined by precinct plan,,,Wellington Parade between Powlett Street and Clarendon Street
"-37.80754585294937, 144.94647120375654","{""coordinates"": [[[[144.94593587435, -37.807827600597], [144.946479550329, -37.807329253297], [144.946513786269, -37.807297208896], [144.946690052367, -37.807134628734], [144.947010751958, -37.807255283268], [144.946716395603, -37.807529547458], [144.946689482602, -37.807552441118], [144.946414244873, -37.80780820785], [144.946248506189, -37.807961673751], [144.94593587435, -37.807827600597]]]], ""type"": ""MultiPolygon""}",,,,21461,,,Complete,,,Hawke Street between Ireland Street and Spencer Street
"-37.818004814754815, 144.95786367023763","{""coordinates"": [[[[144.959011232158, -37.817819530099], [144.95684656553, -37.818437929911], [144.956726393392, -37.818182658703], [144.957821735017, -37.81787428574], [144.957893528489, -37.817854073053], [144.958893189253, -37.817572624771], [144.959011232158, -37.817819530099]]]], ""type"": ""MultiPolygon""}",,,,20118,,,Years 8 - 10,,,Collins Street between William Street and King Street
"-37.805376430237104, 144.9514778164874","{""coordinates"": [[[[144.951797267191, -37.805552609823], [144.951789720328, -37.805551765726], [144.951646750351, -37.805535887406], [144.950898026409, -37.805452737937], [144.950923931846, -37.80517714881], [144.952059871181, -37.805299485129], [144.952068181111, -37.805293510668], [144.952066926873, -37.805300428807], [144.952016787943, -37.80557698458], [144.951797267191, -37.805552609823]]]], ""type"": ""MultiPolygon""}",,,,20979,,,Not determined by precinct plan,,,Victoria Street between Chetwynd Street and Leveson Street
"-37.80425385649467, 144.95091653349218","{""coordinates"": [[[[144.950586422824, -37.805136179985], [144.950631150517, -37.804897529647], [144.950641292196, -37.804843416641], [144.950711339796, -37.804448349218], [144.950720108093, -37.804394279888], [144.950772534923, -37.804106301529], [144.950779422615, -37.804060930052], [144.950907689499, -37.803336362222], [144.951245889972, -37.803368461889], [144.950992674302, -37.804782086452], [144.950987422258, -37.804814799651], [144.950923931846, -37.80517714881], [144.950586422824, -37.805136179985]]]], ""type"": ""MultiPolygon""}",,,,20980,,,Complete,,,Leveson Street between Victoria Street and Queensberry Street
"-37.79459192009106, 144.93148078202037","{""coordinates"": [[[[144.931432562071, -37.794495684358], [144.931776157835, -37.794533215127], [144.931741653863, -37.794718276242], [144.931236142955, -37.794660847355], [144.93116782699, -37.794466766291], [144.931397585366, -37.794491863612], [144.931432562071, -37.794495684358]]]], ""type"": ""MultiPolygon""}",,,,23205,,,Not determined by precinct plan,,,Macaulay Road between Barnett Street and Eastwood Street
"-37.815762142076366, 144.95403506270165","{""coordinates"": [[[[144.95407121368, -37.815705662344], [144.954066235508, -37.815694731112], [144.954319706514, -37.815622341534], [144.954324638159, -37.81563318994], [144.954370098324, -37.815620189969], [144.954365156744, -37.81560924857], [144.954535304465, -37.815560591509], [144.954540400667, -37.815571487824], [144.954585282548, -37.81555865255], [144.954839950659, -37.815485823936], [144.954886104533, -37.815472624937], [144.955100025006, -37.815411447615], [144.955137913867, -37.815492093877], [144.954873537111, -37.815569525329], [144.954825657294, -37.815583395457], [144.954404753679, -37.8157037109], [144.954367347998, -37.815713523681], [144.952986792234, -37.816115168881], [144.952942294856, -37.816028490856], [144.954020144022, -37.815720266144], [144.95407121368, -37.815705662344]]]], ""type"": ""MultiPolygon""}",,,,20063,,,Years 5 - 7,,,Little Bourke Street between King Street and Spencer Street
"-37.812725403843714, 144.95521101782998","{""coordinates"": [[[[144.955344877082, -37.813122433512], [144.954972362829, -37.812314040381], [144.955039326401, -37.812295467628], [144.955328191564, -37.812924680133], [144.955512625861, -37.812871037419], [144.955524291347, -37.812896912639], [144.955341345663, -37.812950121621], [144.95541183634, -37.813103505419], [144.955344877082, -37.813122433512]]]], ""type"": ""MultiPolygon""}",,,,20403,,,Years 5 - 7,,,Park Street between La Trobe Street and Little Lonsdale Street
"-37.80442072949417, 144.95239213395206","{""coordinates"": [[[[144.952464015075, -37.804985044779], [144.952399328563, -37.805344896679], [144.952066926873, -37.805300428807], [144.952068181111, -37.805293510668], [144.952099348881, -37.805107220106], [144.952104226519, -37.805079080116], [144.952134839694, -37.804886174275], [144.952141130958, -37.804851964216], [144.952387578748, -37.803496436118], [144.952718329771, -37.803532120284], [144.952686040901, -37.803721009504], [144.952681011857, -37.803754644067], [144.952565356769, -37.804411665751], [144.952556640657, -37.804465251309], [144.952468805817, -37.804956344532], [144.952464015075, -37.804985044779]]]], ""type"": ""MultiPolygon""}",,,,20964,,,Complete,,,Chetwynd Street between Victoria Street and Queensberry Street
"-37.80124243296287, 144.9529195829157","{""coordinates"": [[[[144.952539807136, -37.801121683556], [144.952574109438, -37.801068732066], [144.953034632538, -37.801035464078], [144.953278421247, -37.801231613227], [144.953105805611, -37.801485203968], [144.953089219982, -37.801492947862], [144.952754037244, -37.801415549846], [144.952539807136, -37.801121683556]]]], ""type"": ""MultiPolygon""}",,,,20914,,,Years 1 - 4,,,Intersection of Arden Street and Courtney Street
"-37.78850355112623, 144.9401608430099","{""coordinates"": [[[[144.940165398461, -37.789053145655], [144.939970377029, -37.788837337335], [144.939980111768, -37.788785382691], [144.940140260135, -37.787930675143], [144.940389046883, -37.788359132233], [144.940346354938, -37.78839290969], [144.940312872608, -37.78857536471], [144.94025314551, -37.78856765776], [144.94024688868, -37.788602414835], [144.940165398461, -37.789053145655]]]], ""type"": ""MultiPolygon""}",,,,23118,,,Years 8 - 10,,,Boundary Road between Racecourse Road and Flemington Road
"-37.80952874022635, 144.9609958090907","{""coordinates"": [[[[144.961071723901, -37.809290415184], [144.961246394989, -37.809675768047], [144.96092269688, -37.809769262764], [144.960744037692, -37.80937992026], [144.961071723901, -37.809290415184]]]], ""type"": ""MultiPolygon""}",,,,22651,,,Years 5 - 7,,,Elizabeth Street between Little La Trobe Street and A'Beckett Street
"-37.85040191367965, 144.98253826629633","{""coordinates"": [[[[144.980975275956, -37.850156417463], [144.984091148416, -37.850554573714], [144.984076303911, -37.850644468414], [144.981010397243, -37.850252697458], [144.980975275956, -37.850156417463]]]], ""type"": ""MultiPolygon""}",,,,22479,,,Complete,,,High Street between St Kilda Road and Punt Road
"-37.80595293725518, 144.95025787333574","{""coordinates"": [[[[144.950503400205, -37.805580145416], [144.950686626557, -37.805825280871], [144.950042940687, -37.806309060946], [144.94980548188, -37.80610213186], [144.950503400205, -37.805580145416]]]], ""type"": ""MultiPolygon""}",,,,21373,,,Years 5 - 7,,,Roden Street between King Street and Eades Place
"-37.80418648859915, 144.95985189687073","{""coordinates"": [[[[144.959553674062, -37.804021260668], [144.960067238993, -37.804077540368], [144.960106396185, -37.804356375898], [144.959685489199, -37.804309521317], [144.959553674062, -37.804021260668]]]], ""type"": ""MultiPolygon""}",,,,20471,,,Years 8 - 10,,,Queensberry Street between Leicester Street and Berkeley Street
"-37.82222190444609, 144.9635580619517","{""coordinates"": [[[[144.963041968654, -37.821975550944], [144.963338051862, -37.82178415016], [144.963603930473, -37.822044283457], [144.963737697416, -37.822141059929], [144.963812182156, -37.822186751679], [144.963817252895, -37.82219049634], [144.964093795305, -37.822327566492], [144.964160161153, -37.822317935093], [144.963499217956, -37.822730463406], [144.963598340915, -37.822555505258], [144.963563069503, -37.822483250006], [144.963361418223, -37.822287011574], [144.963288873599, -37.822215881397], [144.963041968654, -37.821975550944]]]], ""type"": ""MultiPolygon""}",,,,22058,,,Complete,,,Southbank Boulevard between Riverside Quay and City Road
"-37.78836214588267, 144.92218000659545","{""coordinates"": [[[[144.921528807047, -37.7878345257], [144.921720460888, -37.787706395109], [144.922841349867, -37.788915268894], [144.922884345811, -37.788961638304], [144.922527049311, -37.788925336158], [144.922023170568, -37.788348884154], [144.921603312924, -37.787904715447], [144.921528807047, -37.7878345257]]]], ""type"": ""MultiPolygon""}",,,,22525,,,Years 8 - 10,,,Epsom Road between Smithfield Road and Racecourse Road
"-37.81455052983873, 144.9893245252276","{""coordinates"": [[[[144.988325831828, -37.814574946044], [144.988375684145, -37.814306921875], [144.990298397987, -37.814525523872], [144.990321623322, -37.814510962494], [144.990318521876, -37.814527812084], [144.990277575952, -37.814798249319], [144.989958811297, -37.814757812738], [144.989917896935, -37.814751842398], [144.98871097426, -37.814616475804], [144.988668788358, -37.814612159506], [144.988325831828, -37.814574946044]]]], ""type"": ""MultiPolygon""}",,,,21910,,,Complete,,,Hotham Street between Hoddle Street and Simpson Street
"-37.79807851639263, 144.96889209545415","{""coordinates"": [[[[144.968643684219, -37.798496161275], [144.96864840181, -37.798469054088], [144.968770793958, -37.797790109253], [144.968800127297, -37.797625658914], [144.96880496294, -37.797598549247], [144.968833857357, -37.797436558751], [144.969170173951, -37.797475701619], [144.969078951179, -37.798011084191], [144.969046311992, -37.798189765773], [144.968951558215, -37.798716992886], [144.968611600575, -37.798680467536], [144.968643684219, -37.798496161275]]]], ""type"": ""MultiPolygon""}",,,,20550,,,Complete,,,Drummond Street between Faraday Street and Elgin Street
"-37.80712882469468, 144.95380386543138","{""coordinates"": [[[[144.954114130863, -37.807135737846], [144.9536217399, -37.807377294186], [144.953487329262, -37.807125100184], [144.953994878734, -37.806878858509], [144.954114130863, -37.807135737846]]]], ""type"": ""MultiPolygon""}",,,,21387,,,Years 8 - 10,,,Rosslyn Street between William Street and Howard Street
"-37.79637380781379, 144.93200737914006","{""coordinates"": [[[[144.932406418914, -37.796325158732], [144.932476591383, -37.796520439596], [144.9316072135, -37.796422358093], [144.931554506607, -37.796270149607], [144.931539605467, -37.796227118173], [144.931786129077, -37.796255001909], [144.932406418914, -37.796325158732]]]], ""type"": ""MultiPolygon""}",,,,21285,,,Years 5 - 7,,,Chelmsford Street between Eastwood Street and Elizabeth Street
"-37.817111850084025, 144.9588647910821","{""coordinates"": [[[[144.958712843796, -37.81718047559], [144.958514201044, -37.816752766647], [144.958835759186, -37.816648987476], [144.959215209573, -37.817476141324], [144.958893189253, -37.817572624771], [144.958737214631, -37.817231882961], [144.958712843796, -37.81718047559]]]], ""type"": ""MultiPolygon""}",,,,20182,,,Years 5 - 7,,,William Street between Collins Street and Little Collins Street
"-37.81783293309398, 144.95638822976937","{""coordinates"": [[[[144.956409468049, -37.81827574515], [144.956252355559, -37.817933544874], [144.956214642789, -37.817847747311], [144.956184161376, -37.817782766222], [144.95605354734, -37.817501332231], [144.956359596952, -37.817376002258], [144.956726393392, -37.818182658703], [144.956409468049, -37.81827574515]]]], ""type"": ""MultiPolygon""}",,,,20190,,,Years 8 - 10,,,King Street between Collins Street and Little Collins Street
"-37.794905003294495, 144.93418954515454","{""coordinates"": [[[[144.934752867252, -37.795064200734], [144.933590522259, -37.794931476201], [144.933623923089, -37.79474631043], [144.934787873667, -37.79487775876], [144.934752867252, -37.795064200734]]]], ""type"": ""MultiPolygon""}",,,,21268,,,Not determined by precinct plan,,,Macaulay Road between Bent Street and Albermarle Street
"-37.78981457509188, 144.95798324188806","{""coordinates"": [[[[144.957552881974, -37.789914979033], [144.95752971739, -37.789645654881], [144.957531300301, -37.789632832431], [144.957532316658, -37.78963291404], [144.957545737445, -37.789646169716], [144.957545649551, -37.789646887332], [144.958414998646, -37.789714111803], [144.958439956931, -37.789697665377], [144.958437710561, -37.78971586719], [144.958404168713, -37.789987677742], [144.957552881974, -37.789914979033]]]], ""type"": ""MultiPolygon""}",,,,22376,,,Years 8 - 10,,,MacArthur Road between Royal Parade and The Avenue
"-37.79771675022573, 144.93052881523738","{""coordinates"": [[[[144.930478217829, -37.797832389139], [144.930429170305, -37.797689585167], [144.930579695799, -37.797601268656], [144.930628365887, -37.797743728899], [144.930478217829, -37.797832389139]]]], ""type"": ""MultiPolygon""}",,,,21713,,,Not determined by precinct plan,,,Intersection of Tennyson Street and Southey Street
"-37.81175159322897, 144.95218002648826","{""coordinates"": [[[[144.951605829353, -37.812010305871], [144.951546836636, -37.812026879546], [144.951142822293, -37.812140336461], [144.951061440375, -37.811972517617], [144.951057409454, -37.811963709688], [144.951071796974, -37.811969541016], [144.951328547243, -37.811895762099], [144.951358725433, -37.811887689946], [144.951493649581, -37.811849890892], [144.951529067699, -37.811839968725], [144.951928598455, -37.811728040164], [144.951964518108, -37.811718914214], [144.952868147315, -37.811461985345], [144.952898925513, -37.811453233826], [144.953226813622, -37.81136000367], [144.95330299708, -37.811528740037], [144.953102244189, -37.811584348583], [144.953069692266, -37.811593695637], [144.951605829353, -37.812010305871]]]], ""type"": ""MultiPolygon""}",,,,21514,,,Complete,,,Jeffcott Street between Spencer Street and King Street
"-37.81561121900902, 144.97824519428073","{""coordinates"": [[[[144.978922584597, -37.815821861825], [144.977523234528, -37.815669002797], [144.977566838082, -37.81540022933], [144.978969264351, -37.815554114761], [144.978922584597, -37.815821861825]]]], ""type"": ""MultiPolygon""}",,,,21964,,,Not determined by precinct plan,,,Wellington Parade between Jolimont Road and Lansdowne Street
"-37.799654337520515, 144.94460221523096","{""coordinates"": [[[[144.944239532855, -37.799751876027], [144.94428881567, -37.79948347062], [144.944963565687, -37.799556987841], [144.944917964966, -37.799824656667], [144.944239532855, -37.799751876027]]]], ""type"": ""MultiPolygon""}",,,,21160,,,Years 8 - 10,,,O'Shanassy Street between Lothian Street and Dryburgh Street
"-37.79656040495669, 144.93363433428004","{""coordinates"": [[[[144.933925834611, -37.796499976442], [144.933995647669, -37.796690779413], [144.933291070632, -37.796610060712], [144.933323627101, -37.796431129012], [144.933925834611, -37.796499976442]]]], ""type"": ""MultiPolygon""}",,,,21281,,,Years 5 - 7,,,Chelmsford Street between Albermarle Street and Barrett Street
"-37.79289453502966, 144.9465532099394","{""coordinates"": [[[[144.946965811493, -37.793602976595], [144.945661053662, -37.792565608438], [144.946141729573, -37.792186053831], [144.947445309516, -37.793224347829], [144.946965811493, -37.793602976595]]]], ""type"": ""MultiPolygon""}",,,,21251,,,Not determined by precinct plan,,,Flemington Road between Brougham Street and Curran Street
"-37.811733594606416, 144.98465048842655","{""coordinates"": [[[[144.983542065588, -37.811469188108], [144.984447530076, -37.811568923608], [144.984491344393, -37.811573016943], [144.985815636964, -37.811725206992], [144.985763239692, -37.811996332577], [144.985311217152, -37.811947375033], [144.985274886229, -37.811943355971], [144.983914988025, -37.811794007112], [144.983869091144, -37.81178896591], [144.983498655714, -37.811748280631], [144.983542065588, -37.811469188108]]]], ""type"": ""MultiPolygon""}",,,,21864,,,Complete,,,Grey Street between Powlett Street and Clarendon Street
"-37.8197468469341, 144.95586382285944","{""coordinates"": [[[[144.954999141078, -37.819895438935], [144.955024614142, -37.819888243012], [144.956401556937, -37.819499233967], [144.95647074047, -37.819479687002], [144.956901992496, -37.819357847101], [144.956983402335, -37.819523919579], [144.956734205038, -37.819594838877], [144.956680303444, -37.819610179577], [144.956380595437, -37.819695473004], [144.95631782214, -37.81971333694], [144.955633048066, -37.819908212675], [144.955528627566, -37.819937928932], [144.954831886252, -37.820136204052], [144.95475454984, -37.819964537929], [144.954999141078, -37.819895438935]]]], ""type"": ""MultiPolygon""}",,,,20137,,,Complete,,,Flinders Lane between King Street and Spencer Street
"-37.79021684587331, 144.92936302166927","{""coordinates"": [[[[144.929306566178, -37.790468680877], [144.929183045499, -37.789966114005], [144.929432414906, -37.789996716355], [144.929540897569, -37.790435341637], [144.929306566178, -37.790468680877]]]], ""type"": ""MultiPolygon""}",,,,22971,,,Years 8 - 10,,,Bellair Street between Coote Street and Anthony Street
"-37.82296267158462, 144.96463064435355","{""coordinates"": [[[[144.964552326848, -37.822678851906], [144.964960343426, -37.822840014822], [144.96520781168, -37.822913949104], [144.964886786104, -37.823281268944], [144.964685350481, -37.823212899661], [144.964548176733, -37.823161854042], [144.964321184317, -37.823068764667], [144.964189018012, -37.822999769099], [144.963920478838, -37.822926277556], [144.964552326848, -37.822678851906]]]], ""type"": ""MultiPolygon""}",,,,22073,,,Years 8 - 10,,,Southbank Boulevard between City Road and Kavanagh Street
"-37.78866916733951, 144.94128395340246","{""coordinates"": [[[[144.94143451274, -37.789190006523], [144.941340432224, -37.789115237007], [144.940389046883, -37.788359132233], [144.940709927676, -37.787846365161], [144.941046023097, -37.788215531598], [144.941208714266, -37.788430133178], [144.941356230312, -37.788313098682], [144.941489120785, -37.78847513785], [144.941514220926, -37.788493551422], [144.941539364247, -37.788510900553], [144.942457057232, -37.789236401085], [144.94143451274, -37.789190006523]]]], ""type"": ""MultiPolygon""}",,,,22426,,,Not determined by precinct plan,,,Flemington Road between Boundary Road and Racecourse Road
"-37.807108224292925, 144.91208435340215","{""coordinates"": [[[[144.908440483159, -37.806151702503], [144.909625051541, -37.806501415124], [144.909936583805, -37.806593384342], [144.910104847706, -37.806610502964], [144.916163035374, -37.807226656421], [144.915764784505, -37.807878423674], [144.91166505421, -37.807460552753], [144.911359315641, -37.807388175007], [144.910691929724, -37.807320524098], [144.910557235434, -37.80727839705], [144.910288446492, -37.807138322095], [144.909773215577, -37.807012924727], [144.909494561151, -37.806969422384], [144.909444159597, -37.806969598166], [144.909403945154, -37.806969737608], [144.909356025612, -37.80696990515], [144.909321078436, -37.807008446783], [144.909196603134, -37.807145722341], [144.909036712079, -37.807098588958], [144.908996913091, -37.807086857327], [144.908811867342, -37.80706242348], [144.908221711346, -37.80688518901], [144.908199320947, -37.806851778737], [144.90802730833, -37.806801070907], [144.908058899038, -37.806642217141], [144.90805544016, -37.806519718362], [144.907982566223, -37.806498140184], [144.907803073716, -37.806444990351], [144.907820114146, -37.806409144823], [144.907839903453, -37.806374199568], [144.907862366569, -37.806340287139], [144.90786658515, -37.806325592832], [144.908039428596, -37.806377365508], [144.90825676105, -37.806442463496], [144.908340877127, -37.806261380826], [144.908440483159, -37.806151702503]]]], ""type"": ""MultiPolygon""}",,,,22442,,,Complete,,,Footscray Road between Dock Link Road and Sims Street
"-37.79187990823128, 144.92678090947612","{""coordinates"": [[[[144.92597172067, -37.792176144441], [144.92634666584, -37.79194825262], [144.926379153229, -37.791928506785], [144.926540970733, -37.791830153173], [144.926596836348, -37.791796316336], [144.926657926146, -37.791768607263], [144.926721757571, -37.791745061156], [144.926787885305, -37.791725842285], [144.926855848006, -37.79171108473], [144.926925171533, -37.791700891446], [144.926995372252, -37.791695333548], [144.927065959568, -37.791694487171], [144.92764032038, -37.79170063749], [144.927637212869, -37.791812661795], [144.927061596677, -37.791804712239], [144.92700222079, -37.791805450831], [144.926943176161, -37.791810176822], [144.926884880252, -37.79181882399], [144.926827744516, -37.791831331303], [144.92677217222, -37.791847610483], [144.926718555594, -37.791867546633], [144.926667273065, -37.791890999041], [144.926620419218, -37.7919196047], [144.926358320767, -37.792080486076], [144.926330971712, -37.792097273709], [144.926057458617, -37.792265160091], [144.92597172067, -37.792176144441]]]], ""type"": ""MultiPolygon""}",,,,23006,,,Years 5 - 7,,,Hopetoun Street between Epsom Road and McCracken Street
"-37.79386742979037, 144.94704978787806","{""coordinates"": [[[[144.946965811493, -37.793602976595], [144.947379641093, -37.793929533626], [144.94722897595, -37.794051328444], [144.947226815624, -37.794053079681], [144.947224974551, -37.794055051087], [144.947223368562, -37.794057148818], [144.947222010994, -37.794059355454], [144.947220913122, -37.794061652668], [144.947220084062, -37.794064021385], [144.947219563274, -37.794066445621], [144.947218556676, -37.794072040601], [144.94688772507, -37.794032851583], [144.94678613891, -37.793744257763], [144.946965811493, -37.793602976595]]]], ""type"": ""MultiPolygon""}",,,,22947,,,Complete,,,Abbotsford Street between Brougham Street and Flemington Road
"-37.80894952543534, 144.9757560900909","{""coordinates"": [[[[144.975447646486, -37.809380946521], [144.975593657912, -37.808484120556], [144.976011151454, -37.808530173199], [144.976045992439, -37.80853401629], [144.97629162124, -37.80856123145], [144.976269622367, -37.808560077591], [144.97624759969, -37.808560312671], [144.976225702048, -37.808562070671], [144.976204096141, -37.808565338207], [144.976182946452, -37.808570090404], [144.976162413989, -37.808576291086], [144.97614265506, -37.808583893047], [144.976123820087, -37.808592838415], [144.976106052456, -37.808603059092], [144.976089487428, -37.808614477269], [144.976074251109, -37.808627006022], [144.976060459491, -37.808640549972], [144.976048217566, -37.808655006012], [144.976037618529, -37.808670264092], [144.976028743068, -37.808686208054], [144.976021658751, -37.808702716521], [144.976016419509, -37.808719663818], [144.976013256598, -37.808736938801], [144.975900375577, -37.809436637922], [144.975447646486, -37.809380946521]]]], ""type"": ""MultiPolygon""}",,,,20895,,,Years 8 - 10,,,Gisborne Street between Albert Street and Victoria Parade
"-37.814762283311346, 144.97460574479513","{""coordinates"": [[[[144.974467433787, -37.814861400505], [144.974262753849, -37.814408010739], [144.974582165794, -37.814314642693], [144.97491733498, -37.815036272239], [144.974941168213, -37.815115682944], [144.97462419149, -37.815208782902], [144.974493922253, -37.814920076726], [144.974467433787, -37.814861400505]]]], ""type"": ""MultiPolygon""}",,,,20196,,,Years 8 - 10,,,Spring Street between Flinders Street and Flinders Lane
"-37.79493714977565, 144.92628238883896","{""coordinates"": [[[[144.926278176159, -37.79505243877], [144.926140612436, -37.794903428822], [144.926284946993, -37.794820301332], [144.926424942442, -37.794973366856], [144.926278176159, -37.79505243877]]]], ""type"": ""MultiPolygon""}",,,,21748,,,Years 8 - 10,,,Intersection of Kensington Road and Derby Street
"-37.81798089035234, 144.9503655927308","{""coordinates"": [[[[144.950093363906, -37.817824522846], [144.950168900701, -37.817803470785], [144.950256071594, -37.817842400929], [144.950345078865, -37.817878107562], [144.950437597062, -37.81790756515], [144.95053292604, -37.817930550769], [144.95063015394, -37.817947843932], [144.950624091642, -37.817983475354], [144.950533674234, -37.818079976281], [144.950537035885, -37.818085513029], [144.95035078394, -37.818166522554], [144.950349692321, -37.818165164408], [144.950093363906, -37.817824522846]]]], ""type"": ""MultiPolygon""}",,,,22554,,,Complete,,,Intersection of Bourke Street and Wurundjeri Way
"-37.8330876906, 144.97438918400462","{""coordinates"": [[[[144.972473032069, -37.832597881148], [144.972479390871, -37.832604539666], [144.972485877888, -37.832611119924], [144.97249249159, -37.83261762037], [144.972535844159, -37.832652656204], [144.97258101753, -37.832686000124], [144.97262974087, -37.832716023873], [144.972681622558, -37.832742486129], [144.972736245585, -37.832765174197], [144.972793170908, -37.832783905718], [144.972851940981, -37.832798530135], [144.972911962123, -37.832809517782], [144.976112591279, -37.833225010265], [144.97607704202, -37.833397495034], [144.973010338816, -37.832999879748], [144.973006643626, -37.832999571229], [144.973002933944, -37.832999487493], [144.972999231983, -37.832999662948], [144.972995566447, -37.833000096237], [144.972991965757, -37.833000783998], [144.972988457829, -37.833001720899], [144.972985069864, -37.833002899676], [144.972981828129, -37.833004311189], [144.972978757759, -37.833005944495], [144.972975882561, -37.833007786929], [144.972973224826, -37.833009824207], [144.972970805162, -37.833012040531], [144.97296864233, -37.833014418718], [144.972966753099, -37.833016940329], [144.972965152117, -37.833019585812], [144.972963851798, -37.833022334656], [144.972962862223, -37.833025165548], [144.972962191065, -37.833028056537], [144.972961843528, -37.83303098521], [144.972961822306, -37.833033928858], [144.972962127565, -37.833036864658], [144.972962756936, -37.833039769848], [144.972963705542, -37.833042621902], [144.972964966025, -37.833045398706], [144.972966528614, -37.833048078731], [144.972968381192, -37.833050641197], [144.972970509397, -37.833053066236], [144.972972772493, -37.833055424792], [144.972936100809, -37.833030704784], [144.972899593761, -37.833005831972], [144.972863252361, -37.832980807044], [144.972638591212, -37.832774025469], [144.972473032069, -37.832597881148]]]], ""type"": ""MultiPolygon""}",,,,22708,,,Years 8 - 10,,,Domain Road between St Kilda Road and Dallas Brooks Drive
"-37.809405464710395, 144.96233864539286","{""coordinates"": [[[[144.961712415462, -37.809635794045], [144.961283984369, -37.809761669224], [144.961246394989, -37.809675768047], [144.961675383224, -37.809553449672], [144.961739765133, -37.809535091503], [144.962893211639, -37.809194926203], [144.96295898064, -37.809175877623], [144.963385061251, -37.809053883835], [144.963421211127, -37.809137976937], [144.962999437799, -37.809261523291], [144.962933836304, -37.809278318244], [144.962632849091, -37.809365908677], [144.96258511387, -37.809379799861], [144.961778430779, -37.809614546121], [144.961712415462, -37.809635794045]]]], ""type"": ""MultiPolygon""}",,,,21644,,,Complete,,,Little La Trobe Street between Swanston Street and Elizabeth Street
"-37.793172290841795, 144.95834117829236","{""coordinates"": [[[[144.958752816504, -37.792770198136], [144.958646872847, -37.793656642175], [144.957956431136, -37.793604673582], [144.95803059709, -37.793016678412], [144.958032406176, -37.792990753612], [144.95803112663, -37.792964781649], [144.958027002888, -37.792938978614], [144.958020066301, -37.792913540667], [144.958010369603, -37.792888661196], [144.957997986511, -37.792864529342], [144.957983011164, -37.792841328561], [144.95796555741, -37.792819235233], [144.957945757937, -37.792798417317], [144.957923763265, -37.792779033077], [144.957899740605, -37.792761229878], [144.957873872584, -37.792745143063], [144.957846355858, -37.792730894931], [144.957817399616, -37.792718593799], [144.957787223993, -37.792708333184], [144.957756058391, -37.79270019109], [144.957724139741, -37.792694229415], [144.95769172983, -37.79269033003], [144.958067260515, -37.792718597032], [144.958752816504, -37.792770198136]]]], ""type"": ""MultiPolygon""}",,,,22607,,,Not determined by precinct plan,,,Royal Parade between Gatehouse Street and Degraves Street
"-37.829317939368785, 144.9712902727977","{""coordinates"": [[[[144.970961898293, -37.829850402994], [144.970961973217, -37.829523993608], [144.970962163659, -37.829197682218], [144.970972382478, -37.828871546378], [144.971656746865, -37.828892555136], [144.971645650013, -37.829145959877], [144.971642496813, -37.829399558967], [144.971639581314, -37.829653206161], [144.970961898293, -37.829850402994]]]], ""type"": ""MultiPolygon""}",,,,22092,,,Not determined by precinct plan,,,St Kilda Road between Coventry Street and Dorcas Street
"-37.814442995463786, 144.9604447207779","{""coordinates"": [[[[144.960784702685, -37.814796100695], [144.960466770766, -37.814888046335], [144.960106488784, -37.814088281564], [144.960418878018, -37.813995703744], [144.960784702685, -37.814796100695]]]], ""type"": ""MultiPolygon""}",,,,20174,,,Years 5 - 7,,,Queen Street between Bourke Street and Little Bourke Street
